,CAS,CAS_primary,CFR,CODEX ALIMENTARIUS (GSFA),DEA NO.,DRUG BANK,ECHA (EC/EINECS),EMA ASSESSMENT REPORTS,EPA PESTICIDE CODE,EVMPD,"Food Contact Sustance Notif, (FCN No.)",INN,IUPHAR,JECFA EVALUATION,JECFA MONOGRAPH,LIVERTOX,MERCK INDEX,MESH,NCI_THESAURUS,NDF-RT,RXCUI,UNII,WHO INTERNATIONAL PHARMACPOEIA,WHO-ATC,WHO-ESSENTIAL MEDICINES LIST,WHO-VATC,WIKIPEDIA,mixture_UNII,names,preferred_names,substanceClass,uuid,PT_from_unii,RN_from_unii,EC_from_unii,NCIT_from_unii,RXCUI_from_unii,ITIS_from_unii,NCBI_from_unii,PLANTS_from_unii,GRIN_from_unii,INN_ID_from_unii,MF_from_unii,INCHIKEY_from_unii,SMILES_from_unii,UNII_TYPE_from_unii,qid_cas,qid_unii,inchikey_from_wd,inchikey
45193,7791-26-6,7791-26-6,,,,,232-246-1,,,,,,,,,,M11317,,,,,W2V47QQ17S,,,,,URANYL CHLORIDE,,"URANYL CHLORIDE|(T-4)-DICHLORODIOXOURANIUM|URANIUM, DICHLORODIOXO-|DICHLORODIOXOURANIUM|URANIUM CHLORIDE OXIDE (UO2CL2)|URANIUM DIOXIDE DICHLORIDE|URANIUM OXYCHLORIDE (UO2CL2)|URANYL CHLORIDE (UO2CL2)|URANYL DICHLORIDE",URANYL CHLORIDE,chemical,cf1656ce-9b84-43aa-9b3a-4122447dc5d3,URANYL CHLORIDE,7791-26-6,232-246-1,,,,,,,,2Cl.2O.U,GVVUANRQJSIMNB-UHFFFAOYSA-L,[O-2].[O-2].[Cl-].[Cl-].[U+6],INGREDIENT SUBSTANCE,Q410979,Q410979,BKKYZQUZUALAAB-UHFFFAOYSA-N,
45202,32449-92-6|63-29-6,32449-92-6,,,,,251-053-3,,72508,,,663.0,,,,,M5773,,C101515,,,XE4Y3016M9,,,,,,,GLUCUROLACTONE|.GAMMA-LACTONE OF D-GLUCOFURANURONIC ACID|GURONSAN|D-GLUCURONOLACTONE|غلوكورولاكتون|glucurolactone|glucurolactonum|葡醛内酯|glucurolactona|глюкуролактон|GLUCURONOLACTONE,GLUCUROLACTONE,chemical,cf200c2f-fe91-4ad8-9bc5-5f17df7482cf,GLUCUROLACTONE,32449-92-6,251-053-3,C101515,,,,,,663.0,C6H8O6,UYUXSRADSPPKRZ-SKNVOMKLSA-N,C(=O)[C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O,INGREDIENT SUBSTANCE,Q411638,Q411638,OGLCQHRZUSEXNB-SMAHDKISSA-N,
45207,631-60-7,631-60-7,,,,,211-161-3,,,,,,,,,,M7230,,,,,DTW66XA971,,,,,,,MERCUROUS ACETATE|MERCURIUS ACETICUS,MERCUROUS ACETATE,chemical,cf2d5909-e6ef-4f23-bc78-a5ac922fe4d2,MERCUROUS ACETATE,631-60-7,211-161-3,,,,,,,,2C2H3O2.2Hg,LTLCGIKWGSDBMN-UHFFFAOYSA-L,CC(=O)[O-].CC(=O)[O-].[Hg+].[Hg+],INGREDIENT SUBSTANCE,Q15632880,Q15632880,WRYNUJYAXVDTCB-UHFFFAOYSA-M,
45304,177541-00-3,177541-00-3,,,,,,,,,,,,,,,,,,,,5661MT8XQS,,,,,,,"LEMINOPRAZOLE, (-)-|BENZENAMINE, 2-((1H-BENZIMIDAZOL-2-YLSULFINYL)METHYL)-N-METHYL-N-(2-METHYLPROPYL)-, (-)-","LEMINOPRAZOLE, (-)-",chemical,cf94f17f-ecc3-4402-b56b-b9880b7f84d3,"LEMINOPRAZOLE, (-)-",177541-00-3,,,,,,,,,C19H23N3OS,,CC(C)CN(C)c1ccccc1C[S+](c2[nH]c3ccccc3n2)[O-],INGREDIENT SUBSTANCE,,,,
45324,17090-93-6|3792-50-5,3792-50-5,,,,,241-155-6|223-264-0,,,,,,,,,,,,,,,SV5R735TZQ,,,,,,,"SODIUM ASPARTATE|ASPARTATE SODIUM|MONOSODIUM ASPARTATE|SODIUM ASPARTATE, L-|L-ASPARTIC ACID, SODIUM SALT (1:1)",SODIUM ASPARTATE,chemical,cfadb460-55a9-40cf-8f45-cb65832b1eb3,SODIUM ASPARTATE,3792-50-5,223-264-0,,,,,,,,C4H5NO4.H+.Na,,,INGREDIENT SUBSTANCE,,,,
45336,15687-08-8,15687-08-8,,,,,239-777-8,,,,,2067.0,,,,,,,C77846,,,WVB6I50566,,,,,,,DEXTROFEMINE|(+)-.ALPHA.-METHYL-N-(1-METHYL-2-PHENOXYETHYL)PHENETHYLAMINE|ديكستروفيمين|dextrofémine|dextrofeminum|右非明|dextrofemina|декстрофемин,DEXTROFEMINE,chemical,cfc19349-54cc-438c-9304-d8f4dc9e2fb7,DEXTROFEMINE,15687-08-8,239-777-8,C77846,,,,,,2067.0,C18H23NO,,C[C@@H](Cc1ccccc1)N[C@@H](C)COc2ccccc2,INGREDIENT SUBSTANCE,,,,
45343,38188-14-6|1290125-23-3,38188-14-6,,,,,,,,,,,,,,,,,,,,YGD0Y35434,,,,,,,"ETIDOCAINE HYDROCHLORIDE, (-)-|BUTANAMIDE, N-(2,6-DIMETHYLPHENYL)-2-(ETHYLPROPYLAMINO)-, MONOHYDROCHLORIDE, (-)-","ETIDOCAINE HYDROCHLORIDE, (-)-",chemical,cfce7328-437a-4ee6-a8d9-55c98b32da74,"ETIDOCAINE HYDROCHLORIDE, (-)-",38188-14-6,,,,,,,,,C17H28N2O.ClH,,CCCN(CC)C(CC)C(=O)Nc1c(cccc1C)C.Cl,INGREDIENT SUBSTANCE,,,,
45351,21056-98-4,21056-98-4,,,,,244-182-1,,,,,,,,,,M2968,,,,,0NI2DC6M5T,,,,,,,"CALCIUM PHOSPHITE|PHOSPHONIC ACID CALCIUM SALT (1:1)|CALCIUM PHOSPHITE (CAHPO3)|CALCIUM HYDROGEN PHOSPHITE (CAHPO3)|CALCIUM MONOHYDROGEN PHOSPHITE|CALCIUM PHOSPHONATE (CAHPO3)|EKISUPATO 1020C|PHOSPHOROUS ACID, CALCIUM SALT (1:1)|SECONDARY CALCIUM PHOSPHITE",CALCIUM PHOSPHITE,chemical,cfd7fbdd-8156-4704-9425-15af45eb7285,CALCIUM PHOSPHITE,21056-98-4,244-182-1,,,,,,,,Ca.HO3P,OMAAXMJMHFXYFY-UHFFFAOYSA-L,[O-]P(=O)[O-].[Ca+2],INGREDIENT SUBSTANCE,Q1026361,Q1026361,MBVFGUGHATZQGK-UHFFFAOYSA-N,
45372,26386-88-9,26386-88-9,,,,,247-644-0,,,,,,,,,,M4636,,,,,GXM91165AV,,,,,DIPHENYLPHOSPHORYL AZIDE,,"DIPHENYLPHOSPHORAZIDATE|PHOSPHORAZIDIC ACID DIPHENYL ESTER|AZIDODIPHENOXYOXOPHOSPHORANE|DPPA|DIPHENYL AZIDOPHOSPHATE|DIPHENYL PHOSPHORAZIDATE|DIPHENYLPHOSPHORYL AZIDE|O,O-DIPHENYLPHOSPHORYL AZIDE|PHOSPHORIC ACID DIPHENYL ESTER AZIDE|DIPHENYL PHOSPHORYL AZIDE",DIPHENYLPHOSPHORYL AZIDE,chemical,cfef0abc-358c-49fd-99ab-4babfba6b4b5,DIPHENYLPHOSPHORYL AZIDE,26386-88-9,247-644-0,,,,,,,,C12H10N3O3P,SORGEQQSQGNZFI-UHFFFAOYSA-N,c1ccc(cc1)OP(=O)(N=[N+]=[N-])Oc2ccccc2,INGREDIENT SUBSTANCE,Q723781,Q723781,MKRTXPORKIRPDG-UHFFFAOYSA-N,
45374,69201-65-6|41489-18-3,41489-18-3,,,,,,,,,,,,,,,,,,,1313181,328G13N8ZR,,,,,,,"SODIUM LAUROYL ASPARTATE|L-ASPARTIC ACID, N-(1-OXODODECYL)-, SODIUM SALT (1:1)|L-ASPARTIC ACID, N-(1-OXODODECYL)-, MONOSODIUM SALT|AMINOFOAMER FLMS-P 1|MONOSODIUM N-LAUROYL-L-ASPARTATE|N-LAUROYL-L-ASPARTIC ACID MONOSODIUM SALT|SODIUM N-LAUROYL-L-ASPARTATE|SODIUM N-LAUROYLASPARTATE|AMINOFOAMER FLMS-P1|AMINOFOAMER FLDS-L",SODIUM LAUROYL ASPARTATE,chemical,cff21f23-3734-407f-b402-fd35bd36220a,SODIUM LAUROYL ASPARTATE,41489-18-3,,,1313181.0,,,,,,C16H27NO5.H+.Na,,,INGREDIENT SUBSTANCE,,,,
45385,426219-18-3|566939-85-3,566939-85-3,,,,,,,,,,9332.0,,,,,,C571806,C90582,,,UE5K2FNS92,,,,,ORTERONEL,,"TAK-700|ORTERONEL|2-NAPHTHALENECARBOXAMIDE, 6-((7S)-6,7-DIHYDRO-7-HYDROXY-5H-PYRROLO(1,2-C]IMIDAZOL-7-YL)-N-METHYL-|6-((7S)-7-HYDROXY-6,7-DIHYDRO-5H-PYRROLO(1,2-C)IMIDAZOL-7-YL)-N-METHYL-2-NAPHTHALENECARBOXAMIDE|أورتيرونال|ortéronel|orteronelum|奥特罗奈|orteronel|ортеронел",ORTERONEL,chemical,cffd46b2-a92d-4dbf-b6a7-48ca6df86bc0,ORTERONEL,566939-85-3,,C90582,,,,,,9332.0,C18H17N3O2,OZPFIJIOIVJZMN-SFHVURJKSA-N,CNC(=O)c1ccc2cc(ccc2c1)[C@]3(CCn4c3cnc4)O,INGREDIENT SUBSTANCE,Q6581305,Q6581305,OZPFIJIOIVJZMN-UHFFFAOYSA-N,
45398,158122-31-7,158122-31-7,,,,,,,,,,,,,,,,,,,,PT36Q1G95C,,,,,,,"POTASSIUM OLEOYL GLUTAMATE|L-GLUTAMIC ACID, N-(1-OXO-9-OCTADECENYL)-, MONOPOTASSIUM SALT, (Z)-",POTASSIUM OLEOYL GLUTAMATE,chemical,d00f6048-ccf6-4153-a512-984d6efc69c3,POTASSIUM OLEOYL GLUTAMATE,158122-31-7,,,,,,,,,C23H39NO5.H+.K,,,INGREDIENT SUBSTANCE,,,,
45459,506-66-1,506-66-1,,,,,208-050-7,,,,,,,,,,M2437,,,,,F5D2F26ONX,,,,,BERYLLIUM CARBIDE,,BERYLLIUM CARBIDE|BERYLLIUM ACETYLIDE|BERYLLIUM CARBIDE (BE2C),BERYLLIUM CARBIDE,chemical,d05419d4-27c3-4063-a820-edfe64e0bc9f,BERYLLIUM CARBIDE,506-66-1,208-050-7,,,,,,,,C.2Be,IDMHVTPPDAGWCY-UHFFFAOYSA-N,[Be+2].[Be+2].[C-4],INGREDIENT SUBSTANCE,Q411605,Q411605,UQVOJETYKFAIRZ-UHFFFAOYSA-N,
45467,61281-37-6,61281-37-6,,,,,,,,,,,,,,,,,,,,02XA4X3KZW,,,,,,,"SCHIZANDRIN B|SCHISANDRIN B|BENZO(3,4)CYCLOOCTA(1,2-F)(1,3)BENZODIOXOLE, 5,6,7,8-TETRAHYDRO-1,2,3,13-TETRAMETHOXY-6,7-DIMETHYL-, (6R,7S,13AR)-REL-|.GAMMA.-SCHIZANDRIN|(+/-)-.GAMMA.-SCHISANDRIN|(+/-)-.GAMMA.-SCHIZANDRIN|WUWEIZISU B|.GAMMA.-SCHISANDRIN|SCHISANDRIN B (.GAMMA.-SCHISANDRIN) (CONSTITUENT OF NORTHERN SCHISANDRA)",SCHISANDRIN B,chemical,d05cd107-ea12-4c0d-a8aa-e8a530ff4a98,SCHISANDRIN B,61281-37-6,,,,,,,,,C23H28O6,,C[C@H]1Cc2cc3c(c(c2-c4c(cc(c(c4OC)OC)OC)C[C@H]1C)OC)OCO3,INGREDIENT SUBSTANCE,,,,
45600,2897-83-8,2897-83-8,,,,,,,,SUB05356MIG,,3162.0,,,,,,,C87203,,,14144823D4,,,,,,,"ALONIMID|SPIRO(NAPHTHALENE-1(4H),3'-PIPERIDINE)-2',4,6'-TRIONE, 2,3-DIHYDRO-|2,3-DIHYDROSPIRO(NAPHTHALENE-1(4H),3'-PIPERIDINE)-2',4,6'-TRIONE|ألونيميد|alonimide|alonimidum|阿洛米酮|alonimida|алонимид",ALONIMID,chemical,d0e2cf63-ee05-4652-804e-0f16ef8329c5,ALONIMID,2897-83-8,,C87203,,,,,,3162.0,C14H13NO3,,c1ccc2c(c1)C(=O)CCC23CCC(=O)NC3=O,INGREDIENT SUBSTANCE,Q27261574,Q27251564,,
45602,93479-97-1,93479-97-1,,,,DB00222,,,,SUB07925MIG,,5718.0,6820,,,459,M5745,C057619,C29073,N0000008054|N0000175608,25789,6KY687524K,,A10BD06|A10BB12|A10BD04,,QA10BD06|QA10BD04|QA10BB12,GLIMEPIRIDE,,"GLIMEPIRIDE|HOE-490|1H-PYRROLE-1-CARBOXAMIDE, 3-ETHYL-2,5-DIHYDRO-4-METHYL-N-(2-(4-(((((4-METHYLCYCLOHEXYL)AMINO)CARBONYL)AMINO)SULFONYL)PHENYL)ETHYL)-2-OXO-, TRANS-|1-((P-(2-(3-ETHYL-4-METHYL-2-OXO-3-PYRROLINE-1-CARBOXAMIDO)ETHYL)PHENYL)SULFONYL)-3-(TRANS-4-METHYLCYCLOHEXYL)UREA|AMARYL|HOE 490|DUETACT COMPONENT GLIMEPIRIDE|GLIMEPIRIDE COMPONENT OF DUETACT|غليميبيريد|glimépiride|glimepiridum|格列美脲|glimepirida|глимепирид",GLIMEPIRIDE,chemical,d0e9268e-aedf-4d69-93c2-84dfc90aed52,GLIMEPIRIDE,93479-97-1,,C29073,25789.0,,,,,5718.0,C24H34N4O5S,WIGIZIANZCJQQY-RUCARUNLSA-N,CCC1=C(CN(C1=O)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]3CC[C@@H](CC3)C)C,INGREDIENT SUBSTANCE,Q425027,Q425027,WIGIZIANZCJQQY-UHFFFAOYSA-N,
45606,55013-32-6,55013-32-6,,,,,,,,,,,,,,,,,,,,O93PZ85MTG,,,,,CIS-3-METHYL-4-OCTANOLIDE,,"BETA-METHYL-GAMMA-OCTALACTONE, CIS-|2(3H)-FURANONE, 5-BUTYLDIHYDRO-4-METHYL-, CIS-|(+/-)-CIS-WHISKEY LACTONE|CIS-3-METHYL-4-OCTANOLIDE|CIS-METHYLOCTANOLIDE|CIS-OAKLACTONE|CIS-WHISKEY LACTONE|CIS-.BETA.-METHYL-.GAMMA.-OCTALACTONE|WHISKEY LACTONE, (Z)-|FEMA NO. 3803, Z-|5-BUTYL-4-METHYLDIHYDROFURAN-2(3H)-ONE, (Z)-|5-BUTYL-4-METHYLDIHYDRO-2(3H)-FURANONE, (Z)-|2(3H)-FURANONE, 5-BUTYLDIHYDRO-4-METHYL-, (4R,5R)-REL-","5-BUTYL-4-METHYLDIHYDRO-2(3H)-FURANONE, (Z)-",chemical,d0f1bae7-dc8e-43c9-9321-889f9474b66b,"5-BUTYL-4-METHYLDIHYDRO-2(3H)-FURANONE, (Z)-",55013-32-6,,,,,,,,,C9H16O2,,CCCC[C@@H]1[C@@H](CC(=O)O1)C,INGREDIENT SUBSTANCE,,,,
45627,498-40-8,498-40-8,,,,,207-861-3,,,,,,,,,,,,,,,M6W2DJ6N5K,,,,,,,"CYSTEIC ACID, L-|CYSTEIC ACID|ALANINE, 3-SULFO-, L-|CYSTEINESULFONATE|CYSTEINESULFONIC ACID|L-CYSTEIC ACID|NSC-254030|CYSTEIC ACID, (+)-","CYSTEIC ACID, L-",chemical,d11024a7-a875-4a05-90e3-ab7e06d7bcb2,"CYSTEIC ACID, L-",498-40-8,207-861-3,,,,,,,,C3H7NO5S,XVOYSCVBGLVSOL-REOHCLBHSA-N,C([C@@H](C(=O)O)N)S(=O)(=O)O,INGREDIENT SUBSTANCE,Q2823250,Q2823250,XVOYSCVBGLVSOL-UHFFFAOYSA-N,
45668,6011-12-7,6011-12-7,,,,,,,,,,,,,,,,,,,,37HWA5Q4FB,,,,,,,"AMBAZONE MONOHYDRATE|HYDRAZINECARBOTHIOAMIDE, 2-(4-(2-(AMINOIMINOMETHYL)HYDRAZINYLIDENE)-2,5-CYCLOHEXADIEN-1-YLIDENE)-, HYDRATE (1:1)",AMBAZONE MONOHYDRATE,chemical,d142b13d-9ef9-4df3-9272-8d499e460ed8,AMBAZONE MONOHYDRATE,6011-12-7,,,,,,,,,C8H11N7S.H2O,IEMLQLDCDHGTMI-IOHAXTJFSA-N,C1=CC(=NNC(=S)N)C=CC1=NNC(=N)N.O,INGREDIENT SUBSTANCE,Q27256673,Q27256673,IEMLQLDCDHGTMI-UHFFFAOYSA-N,
45676,5951-57-5|1198-22-7,5951-57-5,,,,,,,,,,,,,,,M4729,,,,,D08WL9YC5Q,,,,,,,"DOLICHODIAL|CYCLOPENTANEACETALDEHYDE, 2-FORMYL-3-METHYL-.ALPHA.-METHYLENE-, (1R,2S,3R)-REL-|2-FORMYL-3-METHYL-.ALPHA.-METHYLENECYCLOPENTANEACETALDEHYDE|(+/-)-DOLICHODIAL|(CIS,TRANS)-DOLICHODIAL",DOLICHODIAL,chemical,d14e7a2b-8f20-4e8f-80ba-ac27d07ae60a,DOLICHODIAL,5951-57-5,,,,,,,,,C10H14O2,,C[C@H]1CC[C@@H]([C@@H]1C=O)C(=C)C=O,INGREDIENT SUBSTANCE,Q1235560,,,
45685,85247-63-8,85247-63-8,,,,,,,,,,,,,,,,,,,,0B09LAQ38G,,,,,,,"ANIPAMIL, (-)-|BENZENEACETONITRILE, .ALPHA.-DODECYL-3-METHOXY-.ALPHA.-(3-((2-(3-METHOXYPHENYL)ETHYL)METHYLAMINO)PROPYL)-, (-)-","ANIPAMIL, (-)-",chemical,d15808cb-6e1a-403e-aa0f-e0e9e6f8eea6,"ANIPAMIL, (-)-",85247-63-8,,,,,,,,,C34H52N2O2,,CCCCCCCCCCCCC(CCCN(C)CCc1cccc(c1)OC)(C#N)c2cccc(c2)OC,INGREDIENT SUBSTANCE,,,,
45716,2320-86-7,2320-86-7,,,,,,,,SUB06528MIG,,2735.0,,,,,,,C81377,,,LNS3MVH7NV,,,,,ENESTEBOL,,"ENESTEBOL|4,17.BETA.-DIHYDROXY-17-METHYLANDROSTA-1,4-DIEN-3-ONE|إيناستيبول|énestébol|enestebolum|依奈替勃|enestebol|энестебол",ENESTEBOL,chemical,d17f3485-6e1e-4a29-83a3-e7735fb83ed4,ENESTEBOL,2320-86-7,,C81377,,,,,,2735.0,C20H28O3,XMPHGFYWQPUCAG-XMUHMHRVSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=C(C(=O)C=C[C@]34C)O,INGREDIENT SUBSTANCE,Q5377250,Q5377250,XMPHGFYWQPUCAG-UGHIWARZSA-N,
45830,3776-93-0,3776-93-0,,,,,223-233-1,,,,,2132.0,,,,,M195,C048537,C75113,,,X83CZ0Y5TF,,,,,,,"FURFENOREX|(+)-N-METHYL-N-(.ALPHA.-METHYLPHENETHYL)FURFURYLAMINE|2-FURANMETHANAMINE, N-METHYL-N-(1-METHYL-2-PHENYLETHYL)-, (+)-|D-FURFURYLMETHYLAMPHETAMINE|D-FURFENOREX|FURFURYLMETHYLAMPHETAMINE D-FORM|FURFENOREX, (+)-|فورفينوراكس|furfénorex|furfenorexum|呋芬雷司|furfenorex|фурфенорекс",FURFENOREX,chemical,d21c0153-32cd-4913-bd08-6eff732554dd,FURFENOREX,3776-93-0,223-233-1,C75113,,,,,,2132.0,C15H19NO,,CC(Cc1ccccc1)N(C)Cc2ccco2,INGREDIENT SUBSTANCE,,,,
45845,89-47-4,89-47-4,21 CFR 172.515,,,,201-910-2,,,,,,,MENTHYL ISOVALERATE,,,,,,,,E6QE751102,,,,,,,"MENTHYL ISOVALERATE, (+/-)-|BUTANOIC ACID, 3-METHYL-, (1R,2S,5R)-5-METHYL-2-(1-METHYLETHYL)CYCLOHEXYL ESTER, REL-|BUTANOIC ACID, 3-METHYL-, 5-METHYL-2-(1-METHYLETHYL)CYCLOHEXYL ESTER, (1.ALPHA.,2.BETA.,5.ALPHA.)-|DL-MENTHYL ISOVALERATE|FEMA NO. 4156, (+/-)-|MENTHYL ISOVALERATE|P- MENTH-3-YL ISOVALERATE|MENTHYL VALERATE","MENTHYL ISOVALERATE, (+/-)-",chemical,d22824b5-3616-45bf-9134-b32a7d3b1ad0,"MENTHYL ISOVALERATE, (+/-)-",89-47-4,201-910-2,,,,,,,,C15H28O2,,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CC(C)C)C(C)C,INGREDIENT SUBSTANCE,,,,
45863,14875-96-8,14875-96-8,,,,,,,,,,,,,,,M5944,D006418,C538,,,42VZT0U6YR,,,,,HEME B,,HEME|FERROPROTOPORPHYRIN|FERROHEME|PROTOHEME|PROTOHEME IX|HEME B|REDUCED HEMATIN|HUMAN HEMIN|NORMOSANG,HEME,chemical,d23d27ef-2555-498d-9235-33b1fb03581b,HEME,14875-96-8,,C538,,,,,,,C34H32N4O4.Fe,KABFMIBPWCXCRK-RGGAHWMASA-L,Cc1/c/2c/c3n/c(c\c4c(c(c([n-]4)/cc/5\nc(/cc(/c1CCC(=O)O)\[n-]2)C(=C5C)CCC(=O)O)C)C=C)/C(=C3C=C)C.[Fe+2],INGREDIENT SUBSTANCE,Q620084,Q620084,KABFMIBPWCXCRK-UHFFFAOYSA-L,
45874,69787-80-0,69787-80-0,,,,,,,,,,,,,,,M2150,,,,,GE1D3N476F,,,,,,,AVILAMYCIN C,AVILAMYCIN C,chemical,d245d9c2-92c6-4c3f-92e0-1f30407c3f7d,AVILAMYCIN C,69787-80-0,,,,,,,,,C61H90Cl2O32,,,INGREDIENT SUBSTANCE,,,,
45924,1439-07-2,1439-07-2,,,,,215-877-7,,,,,,,,,,,,,,,1GG17D822U,,,,,,,"STILBENE OXIDE, TRANS-|NSC-100317|NSC-40295|TRANS-STILBENE OXIDE|OXIRANE, 2,3-DIPHENYL-, (2R,3R)-REL-|(+/-)-TRANS-2,3-DIPHENYLOXIRANE|(+/-)-TRANS-STILBENE OXIDE","STILBENE OXIDE, TRANS-",chemical,d2807b88-5c6c-43bb-8524-5b558eb4c34e,"STILBENE OXIDE, TRANS-",1439-07-2,215-877-7,,,,,,,,C14H12O,,c1ccc(cc1)[C@H]2[C@@H](O2)c3ccccc3,INGREDIENT SUBSTANCE,,,,
45954,91032-37-0,91032-37-0,,,,,,,,,,,,,,,M10525,,,,,83Q83MG55O,,,,,,,"RISTOMYCIN A AGLYCONE, 34-O-(2-(ACETYLAMINO)-2-DEOXY-.BETA.-D-GLUCOPYRANOSYL)-22,31-DICHLORO-7-DEMETHYL-64-O-DEMETHYL-19-DEOXY-56-O-(2-DEOXY-2-((8-METHYL-1-OXODECYL)AMINO)-.BETA.-D-GLUCOPYRANOSYL)-42-O-.ALPHA.-D-MANNOPYRANOSYL-|TEICOPLANIN A2-4",TEICOPLANIN A2-4,chemical,d2a2112f-9a94-418a-8f91-645a977b6946,TEICOPLANIN A2-4,91032-37-0,,,,,,,,,C89H99Cl2N9O33,,,INGREDIENT SUBSTANCE,Q27116360,,,
45977,861655-73-4,861655-73-4,,,,,,,,,,,,,,,,,,,,MOI46704GT,,,,,,,"LEVOPHENCYNONATE HYDROCHLORIDE|LEVO-PHENCYNONATE HYDROCHLORIDE|BENZENEACETIC ACID, .ALPHA.-CYCLOPENTYL-.ALPHA.-HYDROXY-, (9-ANTI)-3-METHYL-3-AZABICYCLO(3.3.1)NON-9-YL ESTER, HYDROCHLORIDE, (.ALPHA.R)-|R-(-)-PHENCYNONATE HYDROCHLORIDE",LEVOPHENCYNONATE HYDROCHLORIDE,chemical,d2b6cbcd-4310-4647-a194-8461510a293a,LEVOPHENCYNONATE HYDROCHLORIDE,861655-73-4,,,,,,,,,C22H31NO3.ClH,AUKYHFFECJXLHI-CTKRSBQWSA-N,CN1C[C@H]2CCC[C@@H](C1)C2OC(=O)[C@](c3ccccc3)(C4CCCC4)O.Cl,INGREDIENT SUBSTANCE,Q27284143,Q27284143,AUKYHFFECJXLHI-FMTMECAPSA-N,
45992,16037-91-5,16037-91-5,,,,DB05630,,,,,,,,,,,M1962,,,,,APJ6285Y89,,,,,,,"SODIUM STIBOGLUCONATE NONAHYDRATE|D-GLUCONIC ACID, 2,4:2',4'-O-(OXYDISTIBYLIDYNE)BIS-, SODIUM SALT, HYDRATE (1:3:9)|D-GLUCONIC ACID, CYCLIC ESTER WITH ANTIMONIC ACID (H8SB2O9) (2:1), TRISODIUM SALT, NONAHYDRATE|PENTOSTAM|SOLUSTIBOSAN",SODIUM STIBOGLUCONATE NONAHYDRATE,chemical,d2ceeb01-be4c-43f7-92bd-e3ecc45f8eb9,SODIUM STIBOGLUCONATE NONAHYDRATE,16037-91-5,,,,,,,,,C12H16O17Sb2.H+.3Na.9H2O,,,INGREDIENT SUBSTANCE,Q2757844,,,
46078,76963-41-2,76963-41-2,,,,DB00585,,,,,,5194.0,7248,,,693,M8017,D016567,C29295,N0000000151|N0000175784,42319,P41PML4GHR,,A02BA04,,QA02BA04,NIZATIDINE,,"N-(2-(((2-((DIMETHYLAMINO)METHYL)-4-THIAZOLYL)METHYL)THIO)ETHYL)-N'-METHYL-2-NITRO-1,1-ETHENE DIAMINE|NIZATIDINE|AXID|1,1-ETHENEDIAMINE, N-(2-(((2-((DIMETHYLAMINO)METHYL)-4-THIAZOLYL)METHYL)THIO)ETHYL)-N'-METHYL-2-NITRO-|LY-139037|AXID AR|ACINON|نيزاتيدين|nizatidine|nizatidinum|尼扎替丁|nizatidina|низатидин",NIZATIDINE,chemical,d33093bd-ffce-47e2-93f4-342ea0166b66,NIZATIDINE,76963-41-2,,C29295,42319.0,,,,,5194.0,C12H21N5O2S2,SGXXNSQHWDMGGP-UHFFFAOYSA-N,CNC(=C[N+](=O)[O-])NCCSCc1csc(n1)CN(C)C,INGREDIENT SUBSTANCE,Q1188290,Q1188290,SGXXNSQHWDMGGP-IZZDOVSWSA-N,
46104,10305-76-7|7785-88-8,10305-76-7,,INS-541(I),,,232-090-4,,,,,,,INS-541(I),INS-541(I),,,,,,,7N091Y877O,,,,,SODIUM ALUMINIUM PHOSPHATE,,"ALUMINIUM SODIUM PHOSPHATE|ALUMINUM SODIUM PHOSPHATE|SODIUM ALUMINUM PHOSPHATE, ACIDIC|SODIUM ALUMINIUM PHOSPHATE, ACIDIC|SODIUM ALUMINIUM PHOSPHATE, ACIDIC, TETRAHYDRATE|E-541(I)|INS-541(I)|INS NO.541(I)|SALP|PHOSPHORIC ACID, ALUMINUM SODIUM SALT|BUDAL 2308|E 541|SODIUM ALUMINUM ORTHOPHOSPHATE|SODIUM ALUMINUM PHOSPHATE","SODIUM ALUMINIUM PHOSPHATE, ACIDIC",chemical,d3549edb-d1d0-4986-a357-87cfc0abdade,"SODIUM ALUMINIUM PHOSPHATE, ACIDIC",10305-76-7,232-090-4,,,,,,,,3Al.Na.2HO4P.4H2O.6H2O4P,IQQWMJSNEUUJAY-UHFFFAOYSA-D,O.O.O.O.OP(=O)(O)[O-].OP(=O)(O)[O-].OP(=O)(O)[O-].OP(=O)(O)[O-].OP(=O)(O)[O-].OP(=O)(O)[O-].OP(=O)([O-])[O-].OP(=O)([O-])[O-].[Na+].[Al+3].[Al+3].[Al+3],INGREDIENT SUBSTANCE,Q1220360,Q1220360,GHHVYBBTKTVOPA-UHFFFAOYSA-K,
